Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Temirlan,"школа спорта, искусств и образования",Курсы робототехники; Спортивные секции; Обучение танцам; Спортивно-интеллектуальные клубы; Языковые школы; Детские / подростковые клубы; Бассейны; Центры раннего развития детей,"проспект Назарбаева, 301",1 блок; 1 этаж,050059,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-19:00; Вт: 09:00-13:00, 14:00-19:00; Ср: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Пт: 09:00-13:00, 14:00-19:00; Сб: 09:00-13:00, 14:00-19:00",+05:00,4.8,58,87010802223,,,,,,https://instagram.com/temirlanortalygy,,,https://wa.me/77010802223,,,,,,,43.223305,76.952528,https://2gis.com/firm/70000001057410526,branch
TkRobotics,школа робототехники ,Курсы робототехники,"улица Желтоксан, 222",,,Жастар м-н,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,,+05:00,,,,,,,,,https://instagram.com/tkrobotics,,,,,,,,,,45.002149,78.36379,https://2gis.com/firm/70000001089154279,branch
Uiren,офис,Курсы робототехники; Детские / подростковые клубы; Языковые школы; Спортивно-интеллектуальные клубы,"улица Манаса, 34/1",4 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,19,87073478844,,,,,,https://instagram.com/uiren__kz,,,https://wa.me/77073478844,,,,,,,43.235296,76.909876,https://2gis.com/firm/70000001061518765,branch
UnIQue,центр развития,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Детские / подростковые клубы,"улица Макатаева, 127/11 блок 2",422-423 офис; цокольный этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 09:00-19:30,+05:00,4.5,39,87076564820,,,,,,https://instagram.com/unique.club_kz,,,https://wa.me/77076564820,,,,https://t.me/+77773003379,,,43.263134,76.921297,https://2gis.com/firm/70000001079709741,branch
Your school,образовательный центр,Курсы робототехники; Центры раннего развития детей; Детские / подростковые клубы; Языковые школы; Спортивно-интеллектуальные клубы,"улица Ырысты, 46/6",цокольный этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.0,2,87477891417,,,,,,https://instagram.com/your.school001,,,https://wa.me/77477891417,,,,,,,43.26639,76.855643,https://2gis.com/firm/70000001090724545,branch
Zerek ,образовательный центр ,Курсы робототехники; Спортивные секции; Детские / подростковые клубы; Языковые школы; Обучение танцам,"микрорайон Айнабулак 3, 157/1",,050014,Айнабулак 3 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,13,87771421410,,,,,,https://instagram.com/zerek_line,,,https://wa.me/77771421410,,,,,,,43.327715,76.920767,https://2gis.com/firm/70000001093722174,branch
Zertte Studio,образовательный центр,Курсы робототехники; Детские / подростковые клубы,"бульвар Бухар жырау, 36",,050040,Коктем-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,7,87476746532,,,,http://zertte-studio.kz,,https://instagram.com/zerttestudio,https://facebook.com/zerttestudio,,https://wa.me/77476746532,,,,,,,43.231567,76.917417,https://2gis.com/firm/70000001062849072,branch
Zertteu Robotics,​школа робототехники,Курсы робототехники; Разработка компьютерных игр,"улица Жамакаева, 99",212 кабинет; 2 этаж,050040,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,5,87075339820,,,,,,https://instagram.com/zertteu.robotics,,,https://wa.me/77075339820,,,,,,,43.218676,76.945888,https://2gis.com/firm/70000001083020244,branch
Zhastalap,образовательный центр,Курсы робототехники; Языковые школы; Обучение танцам; Центры раннего развития детей,"улица Еркиндик, 2Б",2 этаж,050047,Айгерим-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-12:00,+05:00,4.6,22,87002166938,,,,http://zhastalap.business.site,,https://instagram.com/zhastalap_12,,,https://wa.me/77002166938,,,,,,,43.280371,76.841335,https://2gis.com/firm/70000001075873044,branch
Алем,образовательный центр,Курсы робототехники; Детские / подростковые клубы; Помощь в обучении; Спортивно-интеллектуальные клубы; Логопед,"Жетысу-3 микрорайон, 25 блок Б",31 офис; 3 этаж,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-14:00,+05:00,5.0,26,87053912257,87474183697,,,,,https://instagram.com/alem.bilim,,,https://wa.me/77053912257,https://wa.me/77474183697,,,,,,43.218972,76.843414,https://2gis.com/firm/70000001056379836,branch
Байт,школа робототехники,Курсы робототехники; Компьютерные курсы,"Айнабулак 2 микрорайон, 65",12 кабинет,050014,Айнабулак 2 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,,,87072525095 (единый номер: пн-вс 10:00-19:00),,,,http://1bt.kz/alm,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,43.319334,76.912449,https://2gis.com/firm/70000001079722000,branch
Байт,школа робототехники,Курсы робототехники; Компьютерные курсы,"улица Гоголя, 133",1 кабинет; 1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,2,87072525095 (единый номер: пн-вс 10:00-19:00),,,,http://1bt.kz/alm,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,43.259816,76.931431,https://2gis.com/firm/70000001079721933,branch
Байт,школа робототехники,Курсы робототехники; Центры раннего развития детей; Компьютерные курсы; Детские / подростковые клубы,"микрорайон Жетысу-2, 8Б",№0 кабинет; 1 этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,2,87072525095 (единый номер: пн-вс 10:00-19:00),,,,http://1bt.kz/alm,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,https://t.me/bytekz,,,43.223092,76.842505,https://2gis.com/firm/70000001079681043,branch
Байт,школа робототехники,Курсы робототехники; Детские / подростковые клубы,"улица Акынов, 13",цокольный этаж; детский клуб Тип-Топ Академия,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,3.0,4,87072525095 (единый номер: пн-вс 10:00-19:00),,,,http://1bt.kz/alm,,https://instagram.com/1bt.kz,,,https://wa.me/77072525095,,,,,,,43.331027,76.949782,https://2gis.com/firm/70000001063714725,branch
Ғалампаз,центр детского развития,Курсы робототехники; Помощь в обучении; Языковые школы,"микрорайон Саялы, 30",1 офис,050047,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.0,2,87075402518,,,,,,https://instagram.com/galampaz,,,https://wa.me/77075402518,,,,,,,43.308387,76.839764,https://2gis.com/firm/70000001090563536,branch
Добруша,центр детского развития,Курсы робототехники; Центры раннего развития детей; Логопед; Помощь в обучении; Языковые школы,"улица Майлина, 75",1 этаж,050039,Алтай-1 м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.3,22,87071100052,87273860328,,,,,https://instagram.com/dobrusha.education,,,https://wa.me/77071100052,,,,,,,43.342358,76.986254,https://2gis.com/firm/9429940000857351,branch
Жажда Познания,образовательный центр,Курсы робототехники; Центры раннего развития детей; Языковые школы; Логопед,"улица Шаврова, 34а",,050018,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,8,87071113698,87273965046,,,,,https://instagram.com/zhazhda_poznania,,,https://wa.me/77071113698,,,,,,,43.276202,76.955861,https://2gis.com/firm/70000001035622565,branch
Зерек бала,образовательный центр,Курсы робототехники; Языковые школы; Музыкальные курсы; Центры раннего развития детей,"проспект Райымбека, 71",,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:30-17:30; Вт: 09:30-17:30; Ср: 09:30-17:30; Чт: 09:30-17:30; Пт: 09:30-17:30,+05:00,,,87085170511,,,,,,https://instagram.com/zerekbala_center,,,https://wa.me/77085170511,,,,,,,43.271531,76.95611,https://2gis.com/firm/70000001089746709,branch
Кидди Парк,детский центр,Курсы робототехники; Центры раннего развития детей; Логопед; Языковые школы; Дневные детские лагеря,"улица Курмангазы, 15",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.7,30,87750430484,,,,,,https://instagram.com/kiddypark_kz,,,https://wa.me/77750430484,,,,,,,43.245765,76.95518,https://2gis.com/firm/70000001031170639,branch
Любовь,детский развивающий центр,Курсы робототехники; Языковые школы; Детские / подростковые клубы; Помощь в обучении,"улица Ади Шарипова, 129",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00 (по предварительной записи),+05:00,4.7,15,87072625804 (единый номер: 8:00-19:00),87075704400 (единый номер: пн-пт 8:00-19:00),,,,,https://instagram.com/dc_lyubov,,,https://wa.me/77075704400,https://wa.me/77072625804,,,,,,43.246159,76.922963,https://2gis.com/firm/70000001037713871,branch
Международная академия робототехники ,образовательный центр,Курсы робототехники; Компьютерные курсы; Помощь в обучении,"улица Каныша Сатпаева, 22",206а офис; 2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Вт: 15:00-20:00; Ср: 15:00-20:00; Чт: 15:00-20:00; Пт: 15:00-20:00; Сб: 09:30-20:00; Вс: 09:30-20:00,+05:00,4.6,20,87085778667,,,,http://roboticsacademy.kz,,https://instagram.com/roboticsacademy.kz,,,https://wa.me/77085778667,,,,,,,43.236508,76.929552,https://2gis.com/firm/70000001054758808,branch
Наши дети,детский центр,Курсы робототехники; Детские / подростковые клубы; Помощь в обучении; Языковые школы; Дневные детские лагеря,"улица Кабанбай батыра, 139",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 11:30-18:00 (по предварительному звонку: сб),+05:00,4.6,37,87778138052,,,,,,https://instagram.com/nashi_deti_almaty,,,https://wa.me/77778138052,,,,,,,43.248292,76.917887,https://2gis.com/firm/70000001030368859,branch
Нур Академия,образовательный центр,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Языковые школы; Спортивно-интеллектуальные клубы,"микрорайон Мамыр 7, 17а",3-7 этаж,050036,Мамыр-7 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,4.6,76,87075705540,,,,,,https://instagram.com/nurakademiya,,,https://wa.me/77075705540,,,,,,,43.209673,76.841889,https://2gis.com/firm/9429940001449810,branch
Нур былым,образовательный центр,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Языковые школы; Спортивные секции,"микрорайон Аккент, 32",8 офис; 1 этаж,050038,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,87082760401,87051328420,87470433966,,,,,,,https://wa.me/77051328420,https://wa.me/77470433966,,,,,,43.244222,76.815729,https://2gis.com/firm/70000001081597151,branch
Парасат,центр развития,Курсы робототехники; Помощь в обучении; Языковые школы; Центры раннего развития детей,"улица Туркебаева, 57",1 этаж,050009,Тастак-2 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+05:00,5.0,9,87717516674,87017605680,,,,,https://instagram.com/parasat_education_center,,,https://wa.me/77017605680,,,,,,,43.255332,76.877549,https://2gis.com/firm/70000001035035797,branch
Ромашка,⁠клуб комплексного развития,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Языковые школы; Логопед,"улица Каныша Сатпаева, 76",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,5.0,19,87761712345,,,info@romashkaclub.com,,,https://instagram.com/club_romashka.almaty,,,https://wa.me/77761712345,,,viber://chat/?number=77761712345,,,,43.233967,76.887683,https://2gis.com/firm/70000001090512418,branch
Сатурн,школа робототехники,Курсы робототехники; Детские / подростковые клубы; Центры раннего развития детей,"проспект Гагарина, 310 блок 5",домофон 5#200,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,23,87076839196,,,,,,https://instagram.com/saturn.deti,,,https://wa.me/77076839196,,,,,,,43.20128,76.901417,https://2gis.com/firm/70000001079100917,branch
Alash Education,,Курсы робототехники; Центры раннего развития детей; Языковые школы; Помощь в обучении; Спортивно-интеллектуальные клубы,"улица Бейбитшилик, 43",511 офис; 5 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,3,87078162162,,,,,,https://instagram.com/ala_sh2024,,,https://wa.me/77078162162,,,,,,,51.179223,71.417347,https://2gis.com/firm/70000001080815422,branch
Aliya Bulat Oner Ortalygy,студия творчества,Курсы робототехники; Обучение танцам; Курсы вокала; Музыкальные курсы,"улица Толе би, 40",,,,Нура район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-19:00; Вт: 09:00-13:00, 14:00-19:00; Ср: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Пт: 09:00-13:00, 14:00-19:00; Сб: 10:00-16:00; Вс: 10:00-16:00 (по предварительной записи)",+05:00,5.0,10,87005127070,,,,,,https://instagram.com/aliya_bulat_ortalygy,,,https://wa.me/77005127070,,,,,,,51.117411,71.391326,https://2gis.com/firm/70000001092023772,branch
Aliya Bulat Oner Ortalygy,студия творчества,Курсы робототехники; Обучение танцам; Курсы вокала; Музыкальные курсы,"проспект Улы Дала, 71",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-20:00; Вт: 09:00-13:00, 14:00-20:00; Ср: 09:00-13:00, 14:00-20:00; Чт: 09:00-13:00, 14:00-20:00; Пт: 09:00-13:00, 14:00-20:00; Сб: 10:00-16:00; Вс: 10:00-16:00 (по предварительной записи)",+05:00,4.6,45,87005127070,,,,,,https://instagram.com/aliya_bulat_ortalygy,,,https://wa.me/77055757665,,,,,,,51.092953,71.449212,https://2gis.com/firm/70000001056449387,branch
Astrobot,,Курсы робототехники; Компьютерные курсы,"улица Алихан Бокейхан, 46",6 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,21,87059262125,,,,http://astrobot.kz/,,https://instagram.com/astrobot.kz,https://facebook.com/astrobot.kz,,https://wa.me/77066533073,,,,,,,51.087816,71.426386,https://2gis.com/firm/70000001064203355,branch
Az Group,образовательная компания,Курсы робототехники; Помощь в обучении; Обучение за рубежом,"улица Аскар Токпанов, 27",408 офис; 4 этаж,,Ак-булак-3 ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87770888844,,,,http://az-group.kz,,https://instagram.com/azgroup.kz,,,https://wa.me/77770888844,,,,,,,51.141325,71.455133,https://2gis.com/firm/70000001094439598,branch
BeEnglish club,,Курсы робототехники; Языковые школы; Курсы творчества и рукоделия для взрослых; Центры раннего развития детей; Дневные детские лагеря,"улица Карасай батыра, 4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.0,1,87476905099,,,,,,https://instagram.com/beenglish.club.eng,,,https://wa.me/77476905099,,,,,,,51.1965,71.400125,https://2gis.com/firm/70000001037578205,branch
Best bala,образовательный центр,Курсы робототехники; Языковые школы; Спортивные секции; Спортивно-интеллектуальные клубы; Центры раннего развития детей,"улица Анет баба, 11/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00 (по предварительной записи),+05:00,4.1,37,87024028280,,,,,,https://instagram.com/best__bala,,,https://wa.me/77024028280,,,,,,,51.138575,71.38433,https://2gis.com/firm/70000001038855760,branch
Bilim start,образовательный центр ,Курсы робототехники; Помощь в обучении; Центры раннего развития детей,"улица Маншук Маметова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-14:00; Вс: 10:00-14:00,+05:00,,,87714876535,,,,,,https://instagram.com/bilim.start.kz,,,https://wa.me/77714876535,,,,,,,51.127711,71.379271,https://2gis.com/firm/70000001089827128,branch
Capable Sana,образовательный центр,Курсы робототехники; Центры раннего развития детей; Языковые школы; Логопед; Дефектолог,"улица Габидена Мустафина, 21/5",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,9,87072060586,,,,,,https://instagram.com/capable_sana_nursultan,,,https://wa.me/77072060586,,,,,,,51.157755,71.50786,https://2gis.com/firm/70000001063087350,branch
Cyber Hub,школа робототехники и программирования,Курсы робототехники,"проспект Мангилик Ел, 21",,,,Есиль район,Астана,,Астана,Казахстан,"Сб: 10:00-13:10, 14:30-19:30; Вс: 10:00-13:10, 14:30-19:30",+05:00,,,87759094238,,,,,,https://instagram.com/cyberhub_astana,,,https://wa.me/77759094238,,,,,,,51.113118,71.429869,https://2gis.com/firm/70000001084004945,branch
Cyber Hub,школа робототехники и программирования,Курсы робототехники,"улица Куйши Дина, 17",518 офис; 5 этаж,,6 м-н,Алматы район,Астана,,Астана,Казахстан,"Вт: 15:00-20:00; Ср: 15:00-20:00; Чт: 15:00-20:00; Пт: 15:00-20:00; Сб: 10:00-13:10, 14:30-19:00; Вс: 10:00-13:10, 14:30-19:00",+05:00,5.0,1,87759094238,,,,,,https://instagram.com/cyberhub_astana,,,https://wa.me/77759094238,,,,,,,51.148171,71.476849,https://2gis.com/firm/70000001084004806,branch
Cyber Hub,школа робототехники и программирования,Курсы робототехники,"проспект Улы Дала, 41/3",,,,Есиль район,Астана,,Астана,Казахстан,"Сб: 10:00-13:10, 14:30-19:30; Вс: 10:00-13:10, 14:30-19:30",+05:00,1.0,1,87759094238,,,,,,https://instagram.com/cyberhub_astana,,,https://wa.me/77759094238,,,,,,,51.099098,71.41616,https://2gis.com/firm/70000001075325033,branch
Cyber Hub,школа робототехники и программирования,Курсы робототехники,"улица Санжара Асфендиярова, 2",,,,Нура район,Астана,,Астана,Казахстан,"Сб: 10:00-13:10, 14:30-19:30; Вс: 10:00-13:10, 14:30-19:30",+05:00,4.3,8,87759094238,,,,,,https://instagram.com/cyberhub_astana,,,https://wa.me/77759094238,,,,,,,51.131816,71.377517,https://2gis.com/firm/70000001062417299,branch
Damyty Ortalygy,центр развития,Курсы робототехники; Центры раннего развития детей; Спортивно-интеллектуальные клубы; Языковые школы; Детские / подростковые клубы,"улица Алихан Бокейхан, 1а",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-16:00; Вс: 10:00-16:00,+05:00,4.6,63,87470950716,87780529478,,,,,https://instagram.com/damyty_ortalygy,https://facebook.com/damytyortalygy,,https://wa.me/77780529478,https://wa.me/77783342561,,,,,,51.114616,71.441585,https://2gis.com/firm/70000001046314046,branch
Daryn-2022,детская образовательная школа,Курсы робототехники; Языковые школы; Детские / подростковые клубы,"улица Бейбитшилик, 54Б",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87789074968,,,,,,,,,https://wa.me/77755245653,https://wa.me/77789074968,,,,,,51.077095,71.747948,https://2gis.com/firm/70000001088458997,branch
Edilik,,Курсы робототехники; Центры раннего развития детей; Языковые школы; Помощь в обучении; Логопед,"проспект Туран, 55/13",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,4.8,4,87478086642,,,,,,https://instagram.com/edilik.astana,,,https://wa.me/77478086642,,,,,,,51.113432,71.392424,https://2gis.com/firm/70000001090741294,branch
Educational space,,Курсы робототехники; Спортивные секции; Детские / подростковые клубы; Центры раннего развития детей; Обучение танцам,"переулок Мойнак, 14",4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.7,32,87786391432 (администрация),87084255622 (отдел кадров),87474583909 (администрация),,,,https://instagram.com/koktal_junior_hall,,,https://wa.me/77786391432,https://wa.me/77474583909,,,,,,51.18696,71.343002,https://2gis.com/firm/70000001057680668,branch
Elgezek,центр развития,Курсы робототехники; Помощь в обучении; Языковые школы; Музыкальные курсы; Центры раннего развития детей,"улица Е 319, 2","8, 10 офис; 1 этаж",,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.3,16,87053237415,,,,,,https://instagram.com/elgezek_astana,,,https://wa.me/77053237415,,,,,,,51.062223,71.420108,https://2gis.com/firm/70000001034029591,branch
Fab Lab by NURIS,лаборатория цифрового прототипирования,Курсы робототехники; Изготовление макетов / Прототипирование; Лазерная резка неметаллов; Компьютерные курсы; Оборудование для 3D печати,"Кабанбай батыр проспект, 53 блок 9",321а офис; 9 блок; 3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,9,87005700957,87172705996,,,http://nuris.nu.edu.kz/fablab,,https://instagram.com/nuris_fablab,,,https://wa.me/77005700957,,,,https://t.me/abcfablab,https://t.me/raskaruly,,51.091044,71.397361,https://2gis.com/firm/70000001045870285,branch
Farabi Academy,,Курсы робототехники; Компьютерные курсы,"улица Достык, 5",9 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87056030110,,,,http://farabi-academy.kz/,,https://instagram.com/farabiacademy.kz,,,https://wa.me/77056030110,,,,https://t.me/+77056030110,,,51.127743,71.421694,https://2gis.com/firm/70000001075250642,branch
Formula U.Zakirkyzy,центр развития,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Центры йоги,"улица Шамши Калдаяков, 23/2",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:30; Вс: 09:00-20:30,+05:00,5.0,1,87771638279,87051031080,,formula_bravo@mail.ru,,,https://instagram.com/formula_bravo,,,https://wa.me/77771638279,https://wa.me/77051031080,,,,,,51.114187,71.4892,https://2gis.com/firm/70000001094138517,branch
I Clever,образовательный центр,Курсы робототехники; Помощь в обучении; Языковые школы; Спортивно-интеллектуальные клубы,"проспект Мангилик Ел, 36",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,1,87017887786,,,,,,https://instagram.com/iclever.center,,,https://wa.me/77017887786,,,,,,,51.106445,71.431544,https://2gis.com/firm/70000001083953664,branch
